daily date,Date,DNFTSE,DPredicted,daily predicted price
2020-10-02,2020-10-02,-0.006159426997,0.08015874196066666,0.0801672857281818
2020-10-03,,-0.035368620368,0.080170489641,0.08017262558287877
2020-10-04,,-0.064577813739,0.08018223732133334,0.08017796543757573
2020-10-05,2020-10-05,-0.09378700711,0.08019398500166666,0.0801833052922727
2020-10-06,2020-10-06,-0.1073078198,0.080205732682,0.0801993248563636
2020-10-07,2020-10-07,-0.002203427918,0.08021748036233334,0.0802153444204545
2020-10-08,2020-10-08,-0.0723052964,0.08022922804266666,0.0802313639845454
2020-10-09,2020-10-09,-0.06419476479,0.080240975723,0.0802473835486363
2020-10-10,,-0.05836916087333333,0.08025272340333334,0.08025272340333327
2020-10-11,,-0.05254355695666667,0.08026447108366666,0.08025806325803023
2020-10-12,2020-10-12,-0.04671795304,0.080276218764,0.0802634031127272
2020-10-13,2020-10-13,0.1385528775,0.08028796644433334,0.0802794226768181
2020-10-14,2020-10-14,-0.02974383189,0.08029971412466666,0.080295442240909
2020-10-15,2020-10-15,0.05603239933,0.080311461805,0.080311461805
2020-10-16,2020-10-16,0.007811264437,0.08032320948533334,0.0803274813690909
2020-10-17,,-0.002002938472,0.08033495716566666,0.08033282122378786
2020-10-18,,-0.011817141380999999,0.080346704846,0.08033816107848483
2020-10-19,2020-10-19,-0.02163134429,0.08035845252633333,0.0803435009331818
2020-10-20,2020-10-20,-0.03159615878,0.08037020020666666,0.0803595204972727
2020-10-21,2020-10-21,0.07080309255,0.080381947887,0.0803755400613636
2020-10-22,2020-10-22,-0.05337811465,0.08039369556733333,0.0803915596254545
2020-10-23,2020-10-23,-0.1077576985,0.08040544324766666,0.0804075791895454
2020-10-24,,-0.029059233766666664,0.080417190928,0.08041291904424237
2020-10-25,,0.04963923096666667,0.08042893860833333,0.08041825889893933
2020-10-26,2020-10-26,0.1283376957,0.08044068628866666,0.0804235987536363
2020-10-27,2020-10-27,0.1329958969,0.080452433969,0.0804396183177272
