Time Series Search Export,Search term,Search filters,,Last update of Effective exchange rates data,Downloaded at,Source,Source URL,Download URL,About Effective exchange rates
,,,,2024-07-18,2024-07-22 16:49 CEST,BIS,https:/data.bis.org/topics/EER/BIS%2CWS_EER%2C1.0/M.R.N.GB?view=chart,https:/data.bis.org/topics/EER/BIS%2CWS_EER%2C1.0/M.R.N.GB?view=chart&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/EER

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1967-04-30,F:Free,,A:Normal value,160.11
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1967-05-31,F:Free,,A:Normal value,159.62
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1967-06-30,F:Free,,A:Normal value,160.61
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1967-07-31,F:Free,,A:Normal value,158.51
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1967-08-31,F:Free,,A:Normal value,157.91
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1967-09-30,F:Free,,A:Normal value,157.14
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1967-10-31,F:Free,,A:Normal value,158.97
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1967-11-30,F:Free,,A:Normal value,150.25
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1967-12-31,F:Free,,A:Normal value,139.22
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1968-01-31,F:Free,,A:Normal value,138.66
